"mean_k","filing_year","Ctry_code"
24.3525248270797,2003.07692307692,"Germany"
20.6571037588093,2003.07692307692,"Switzerland"
38.2975583529813,2003.07692307692,"United States"
35.3863991237055,2003.07692307692,"China"
34.9723107507621,2003.18060200669,"Japan"
24.501530544986,2003.18060200669,"Germany"
20.7490065593349,2003.18060200669,"Switzerland"
38.4607417661329,2003.18060200669,"United States"
35.7694977700688,2003.18060200669,"China"
35.0613959274799,2003.28428093645,"Japan"
24.6505362628923,2003.28428093645,"Germany"
20.8409093598604,2003.28428093645,"Switzerland"
38.6239251792845,2003.28428093645,"United States"
36.1525964164321,2003.28428093645,"China"
35.1504811041977,2003.38795986622,"Japan"
24.7995419807987,2003.38795986622,"Germany"
20.932812160386,2003.38795986622,"Switzerland"
38.787108592436,2003.38795986622,"United States"
36.5356950627954,2003.38795986622,"China"
35.2395662809154,2003.49163879599,"Japan"
24.948547698705,2003.49163879599,"Germany"
21.0247149609116,2003.49163879599,"Switzerland"
38.9502920055876,2003.49163879599,"United States"
36.9187937091586,2003.49163879599,"China"
35.3286514576332,2003.59531772575,"Japan"
25.0975534166113,2003.59531772575,"Germany"
21.1166177614372,2003.59531772575,"Switzerland"
39.1134754187392,2003.59531772575,"United States"
37.301892355522,2003.59531772575,"China"
35.4177366343509,2003.69899665552,"Japan"
25.2465591345177,2003.69899665552,"Germany"
21.2085205619628,2003.69899665552,"Switzerland"
39.2766588318907,2003.69899665552,"United States"
37.6849910018853,2003.69899665552,"China"
35.5068218110687,2003.80267558528,"Japan"
25.395564852424,2003.80267558528,"Germany"
21.3004233624884,2003.80267558528,"Switzerland"
39.4398422450423,2003.80267558528,"United States"
38.0680896482485,2003.80267558528,"China"
35.5959069877864,2003.90635451505,"Japan"
25.5445705703303,2003.90635451505,"Germany"
21.392326163014,2003.90635451505,"Switzerland"
39.6030256581939,2003.90635451505,"United States"
38.4511882946118,2003.90635451505,"China"
35.6851355804264,2004.01003344482,"Japan"
25.6915060376341,2004.01003344482,"Germany"
