"","countries","year","variable","value","type"
"388","South Korea",2015,"firm_uni_share",0.250874125874126,"several"
"389","South Korea",2016,"firm_uni_share",0.269455252918288,"several"
"390","South Korea",2017,"firm_uni_share",0.215794306703398,"several"
"391","South Korea",2018,"firm_uni_share",0.253636363636364,"several"
"392","South Korea",2019,"firm_uni_share",0.242349048800662,"several"
"393","South Korea",2020,"firm_uni_share",0.2590799031477,"several"
"394","South Korea",2021,"firm_uni_share",0.278861788617886,"several"
"395","Sweden",1986,"firm_uni_share",0.258064516129032,"several"
"396","Sweden",1987,"firm_uni_share",0.19047619047619,"several"
"397","Sweden",1988,"firm_uni_share",0.223404255319149,"several"
"398","Sweden",1989,"firm_uni_share",0.1875,"several"
"399","Sweden",1990,"firm_uni_share",0.25,"several"
"400","Sweden",1991,"firm_uni_share",0.192307692307692,"several"
"401","Sweden",1992,"firm_uni_share",0.176829268292683,"several"
"402","Sweden",1993,"firm_uni_share",0.271028037383178,"several"
"403","Sweden",1994,"firm_uni_share",0.238095238095238,"several"
"404","Sweden",1995,"firm_uni_share",0.2996632996633,"several"
"405","Sweden",1996,"firm_uni_share",0.316353887399464,"several"
"406","Sweden",1997,"firm_uni_share",0.328651685393258,"several"
"407","Sweden",1998,"firm_uni_share",0.366120218579235,"several"
"408","Sweden",1999,"firm_uni_share",0.325136612021858,"several"
"409","Sweden",2000,"firm_uni_share",0.351063829787234,"several"
"410","Sweden",2001,"firm_uni_share",0.300291545189504,"several"
"411","Sweden",2002,"firm_uni_share",0.333333333333333,"several"
"412","Sweden",2003,"firm_uni_share",0.405479452054795,"several"
"413","Sweden",2004,"firm_uni_share",0.403899721448468,"several"
"414","Sweden",2005,"firm_uni_share",0.393048128342246,"several"
"415","Sweden",2006,"firm_uni_share",0.415789473684211,"several"
"416","Sweden",2007,"firm_uni_share",0.422279792746114,"several"
"417","Sweden",2008,"firm_uni_share",0.401084010840108,"several"
"418","Sweden",2009,"firm_uni_share",0.447721179624665,"several"
"419","Sweden",2010,"firm_uni_share",0.431318681318681,"several"
"420","Sweden",2011,"firm_uni_share",0.484567901234568,"several"
"421","Sweden",2012,"firm_uni_share",0.491002570694087,"several"
"422","Sweden",2013,"firm_uni_share",0.454293628808864,"several"
"423","Sweden",2014,"firm_uni_share",0.474683544303797,"several"
"424","Sweden",2015,"firm_uni_share",0.516949152542373,"several"
"425","Sweden",2016,"firm_uni_share",0.551829268292683,"several"
"426","Sweden",2017,"firm_uni_share",0.52212389380531,"several"
"427","Sweden",2018,"firm_uni_share",0.554347826086957,"several"
"428","Sweden",2019,"firm_uni_share",0.612403100775194,"several"
"429","Sweden",2020,"firm_uni_share",0.530386740331492,"several"
"430","Sweden",2021,"firm_uni_share",0.630541871921182,"several"
"431","Switzerland",1986,"firm_uni_share",0.223880597014925,"several"
"432","Switzerland",1987,"firm_uni_share",0.1875,"several"
"433","Switzerland",1988,"firm_uni_share",0.144,"several"
"434","Switzerland",1989,"firm_uni_share",0.165413533834586,"several"
"435","Switzerland",1990,"firm_uni_share",0.26027397260274,"several"
"436","Switzerland",1991,"firm_uni_share",0.289308176100629,"several"
"437","Switzerland",1992,"firm_uni_share",0.25,"several"
"438","Switzerland",1993,"firm_uni_share",0.276995305164319,"several"
"439","Switzerland",1994,"firm_uni_share",0.302405498281787,"several"
"440","Switzerland",1995,"firm_uni_share",0.311258278145695,"several"
"441","Switzerland",1996,"firm_uni_share",0.412979351032448,"several"
"442","Switzerland",1997,"firm_uni_share",0.347945205479452,"several"
"443","Switzerland",1998,"firm_uni_share",0.385294117647059,"several"
"444","Switzerland",1999,"firm_uni_share",0.393188854489164,"several"
"445","Switzerland",2000,"firm_uni_share",0.448387096774194,"several"
"446","Switzerland",2001,"firm_uni_share",0.389558232931727,"several"
"447","Switzerland",2002,"firm_uni_share",0.380952380952381,"several"
"448","Switzerland",2003,"firm_uni_share",0.409090909090909,"several"
"449","Switzerland",2004,"firm_uni_share",0.48135593220339,"several"
"450","Switzerland",2005,"firm_uni_share",0.450592885375494,"several"
